phage,host,phage_name,host_name
NC_020856,NVUC01000001,"Sulfitobacter phage pCB2047-C, complete genome","MAG Sulfitobacter sp. isolate NORP99 Contig_source1383C_1004, whole genome shotgun sequence"
NC_013936,CP027541,"Mycobacterium phage Ardmore, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_020853,NZ_JXYE01000002,Loktanella phage pCB2051-A genomic sequence,"Loktanella sp. S4079 contig0002, whole genome shotgun sequence"
NC_020858,NVUC01000001,"Sulfitobacter phage pCB2047-A, complete genome","MAG Sulfitobacter sp. isolate NORP99 Contig_source1383C_1004, whole genome shotgun sequence"
KX620748,CP030279,"Propionibacterium phage Anatole, complete genome","Propionibacterium freudenreichii strain CB129slpB chromosome, complete genome"
KX620749,CP030279,"Propionibacterium phage B3, complete genome","Propionibacterium freudenreichii strain CB129slpB chromosome, complete genome"
MH834611,QLNP01000098,"Arthrobacter phage Eileen, complete genome","Arthrobacter globiformis strain mrc11 337, whole genome shotgun sequence"
MH834613,CP027541,"Mycobacterium phage Fowlmouth, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH834612,QLNP01000098,"Arthrobacter phage Faja, complete genome","Arthrobacter globiformis strain mrc11 337, whole genome shotgun sequence"
MH834615,CP027541,"Mycobacterium phage KandZ, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH834614,QLNP01000098,"Arthrobacter phage Judy, complete genome","Arthrobacter globiformis strain mrc11 337, whole genome shotgun sequence"
MH834617,CP027541,"Mycobacterium phage Lizziana, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH834616,QLNP01000098,"Arthrobacter phage Kepler, complete genome","Arthrobacter globiformis strain mrc11 337, whole genome shotgun sequence"
MH834619,QLNP01000098,"Arthrobacter phage Maureen, complete genome","Arthrobacter globiformis strain mrc11 337, whole genome shotgun sequence"
MH834618,QLNP01000098,"Arthrobacter phage Lunar, complete genome","Arthrobacter globiformis strain mrc11 337, whole genome shotgun sequence"
MH697588,CP027541,"Mycobacterium phage Jaykayelowell, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697589,CP019892,"Microbacterium phage Neferthena, complete genome",Microbacterium foliorum strain 122 genome
MH697580,NZ_CP029604,"Gordonia phage Catfish, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MH697581,CP027541,"Mycobacterium phage Crispicous1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697582,CP027541,"Mycobacterium phage Ejimix, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697583,CP027541,"Mycobacterium phage EricMillard, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697584,CP027541,"Mycobacterium phage FrenchFry, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697585,CP027541,"Mycobacterium phage Gex, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697586,CP027541,"Mycobacterium phage InigoMontoya, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697587,CP027541,"Mycobacterium phage IPhane7, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KT591076,CP027541,"Mycobacterium phage Weiss13, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359300,CP027541,"Mycobacterium phage AFIS, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359301,CP027541,"Mycobacterium phage Kingmustik0402, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359302,NZ_CP029604,"Gordonia phage Sombrero, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MK359303,CP027541,"Mycobacterium phage Shnickers, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359304,CP027541,"Mycobacterium phage SpikeBT, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359305,CP027541,"Mycobacterium phage Teardrop, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359306,CP027541,"Mycobacterium phage Norm, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359307,CP027541,"Mycobacterium phage Ochi17, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359308,CP027541,"Mycobacterium phage Shaqnato, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK359309,CP027541,"Mycobacterium phage Czyszczon1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_007501,CP014201,"Lactobacillus phage Lc-Nu, complete genome","Lactobacillus rhamnosus strain BFE5264, complete genome"
MG812486,CP027541,"Mycobacterium phage Acme, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KY965064,CP027541,"Mycobacterium phage Pippy, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KY965065,CP027541,"Mycobacterium phage Heffalump, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_004313,CP030026,"Salmonella phage ST64B, complete genome",Salmonella enterica subsp. diarizonae serovar 59:z10:- strain SA20051472 chromosome
NC_022753,CP027541,"Mycobacterium phage Fredward, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG812489,CP027541,"Mycobacterium phage Greg, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KY965063,CP027541,"Mycobacterium phage PurpleHaze, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_001835,NZ_CM007353,"Lactococcus phage sk1, complete genome","Lactococcus lactis subsp. cremoris IBB477 chromosome, whole genome shotgun sequence"
NC_019530,AP014565,"Salmonella phage PhiSH19, complete genome","Salmonella enterica subsp. enterica serovar Typhimurium str. L-3553 DNA, complete genome"
NC_022754,CP018657,"Salmonella phage SETP7, complete genome","Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392, complete sequence"
KX458237,CP027541,"Mycobacterium phage Penny1, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KX458236,CP027541,"Mycobacterium phage Wilbur, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_016568,NJFC02000001,"Helicobacter phage phiHP33, complete genome","Helicobacter pylori strain FDAARGOS_299 scf7180000000006_quiver_pilon, whole genome shotgun sequence"
NC_016565,NZ_CP023560,"Staphylococcus phage S24-1, complete genome",Staphylococcus aureus strain NMR08 chromosome
NC_016564,NZ_CM002803,"Planktothrix phage PaV-LD, complete genome","Planktothrix agardhii NIVA-CYA 126/8 chromosome, whole genome shotgun sequence"
NC_016567,NZ_LK391965,"Vibrio phage SIO-2, complete genome","Vibrio nigripulchritudo SOn1, whole genome shotgun sequence"
NC_016566,CP032523,"Shigella phage EP23, complete genome","Shigella sonnei strain AR_0030 chromosome, complete genome"
NC_016562,LR134359,"Campylobacter phage CPX, complete genome","Campylobacter jejuni subsp. doylei strain NCTC11951 genome assembly, chromosome: 1"
MG944223,CP027541,"Mycobacterium phage Trypo, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG944222,CP019892,"Microbacterium phage StingRay, complete genome",Microbacterium foliorum strain 122 genome
MG944221,CP027541,"Mycobacterium phage Scowl, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG944220,CP027541,"Mycobacterium phage Ruotula, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG944226,CP019892,"Microbacterium phage Casey, complete genome",Microbacterium foliorum strain 122 genome
MG944225,CP027541,"Mycobacterium phage Xavier, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG944224,CP027541,"Mycobacterium phage Wander, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_011085,PDLE01000004,"Morganella phage MmP1, complete genome","Morganella morganii strain FDAARGOS_438 pBCCDC_12.contig.3, whole genome shotgun sequence"
NC_015720,NZ_CP029604,"Gordonia phage GTE2, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
JQ300538,CP027541,"Mycobacterium phage Spartacus, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023741,CP027541,"Mycobacterium phage Stinger, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023740,CP027541,"Mycobacterium phage JacAttac, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023742,CP027541,"Mycobacterium phage Akoma, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023745,CP027541,"Mycobacterium virus LHTSCC, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023747,CP027541,"Mycobacterium phage BarrelRoll, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023746,CP027541,"Mycobacterium virus GUmbie, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023748,CP027541,"Mycobacterium phage SkiPole, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_001900,CP027541,"Mycobacterium phage D29, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KX781992,CP027541,"Mycobacterium phage Gabriel, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_001909,NZ_CM007353,"Lactococcus phage bIL170, complete genome","Lactococcus lactis subsp. cremoris IBB477 chromosome, whole genome shotgun sequence"
KM101117,CP027541,"Mycobacterium phage LizLemon, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_007019,LS483339,"Streptococcus phage 2972, complete genome","Streptococcus thermophilus strain NCTC12958 genome assembly, chromosome: 1"
MG770213,CP027541,"Mycobacterium phage OldBen, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG770211,NZ_CP029604,"Gordonia phage Flakey, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_029050,NZ_CCKZ01000001,"Salmonella phage 21, complete genome","Salmonella enterica subsp. enterica serovar Paratyphi A, whole genome shotgun sequence"
MG770216,CP027541,"Mycobacterium phage Rem711, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG770215,NZ_CP029604,"Gordonia phage Troje, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MG770214,NZ_CP029604,"Gordonia phage SteveFrench, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
NC_025422,CP023315,"Caulobacter phage Cr30, complete genome","Caulobacter vibrioides strain CB13b1a chromosome, complete genome"
NC_011398,NBTS02000002,"Clostridium phage phiCD27, complete genome","Clostridioides difficile strain FDAARGOS_268 scf7180000000004_quiver_pilon, whole genome shotgun sequence"
NC_023686,CP027541,"Mycobacterium phage Gadjet, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023565,CP027541,"Mycobacterium phage Nyxis, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023564,CP027541,"Mycobacterium phage EagleEye, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023687,CP027541,"Mycobacterium phage Bruns, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH183162,CP019892,"Microbacterium phage Hendrix, complete genome",Microbacterium foliorum strain 122 genome
NC_023563,CP027541,"Mycobacterium phage Suffolk, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
JX307705,CP027541,"Mycobacterium phage Marcell, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
JX307704,CP027541,"Mycobacterium virus Goose, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_023568,CP014038,"Vibrio phage VH7D, complete genome","Vibrio harveyi strain FDAARGOS_107 chromosome 1, complete sequence"
JX307703,CP027541,"Mycobacterium phage Sabertooth, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
JX307702,CP027541,"Mycobacterium virus Arturo, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK112534,CP027541,"Mycobacterium phage Burrough, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH727549,CP027541,"Mycobacterium phage Gancho, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK112536,CP027541,"Mycobacterium phage Cannibal, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK112530,CP027541,"Mycobacterium phage BigPaolini, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_031085,CP032523,"Shigella phage SHBML-50-1, complete genome","Shigella sonnei strain AR_0030 chromosome, complete genome"
NC_031087,NZ_UWXU01000001,"Klebsiella phage vB_KpnM_KpV477, complete genome","Klebsiella pneumoniae isolate kpneu038, whole genome shotgun sequence"
MH727543,CP027541,"Mycobacterium phage CharlieB, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK112538,LC361338,"Arthrobacter phage Carpal, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MH727545,CP027541,"Mycobacterium phage DismalStressor, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH727546,CP027541,"Mycobacterium phage Eaglehorse, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH727547,NZ_CP029604,"Gordonia phage Foxboro, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MK279866,CP027541,"Mycobacterium phage MRabcd, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
JF957058,CP027541,"Mycobacterium virus HelDan, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH976519,NZ_CP029604,"Gordonia phage Tangent, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MH976518,NZ_CP029604,"Gordonia phage Stultus, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
HM152765,CP027541,"Mycobacterium phage Island3, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
HM152766,CP027541,"Mycobacterium phage Eagle, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK279869,LC361338,"Arthrobacter phage OurGirlNessie, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MH976513,NZ_CP029604,"Gordonia phage Kroos, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MH976512,NZ_CP029604,"Gordonia phage Geodirt, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MH976511,NZ_CP029604,"Gordonia phage Gaea, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MH976510,NZ_CP029604,"Gordonia phage Fosterous, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MH976517,CP027541,"Mycobacterium phage Popcicle, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH976515,NZ_CP029604,"Gordonia phage Octobien14, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MH976514,NZ_CP029604,"Gordonia phage Nordenberg, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
KX589269,CP027541,"Mycobacterium phage Fortunato, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_022762,CP031023,"Lactobacillus phage phiLdb, complete genome","MAG Lactobacillus delbrueckii subsp. lactis isolate NWC_2_2 chromosome, complete genome"
NC_022764,CP022674,"Bacillus phage Page, complete genome","Priestia megaterium strain SR7 chromosome, complete genome"
NC_022765,CP027116,"Bacillus phage Riggi, complete genome","Bacillus pumilus strain 145 chromosome, complete genome"
NC_022766,CP027116,"Bacillus phage Glittering, complete genome","Bacillus pumilus strain 145 chromosome, complete genome"
NC_010353,LS483339,"Streptococcus phage 858, complete genome","Streptococcus thermophilus strain NCTC12958 genome assembly, chromosome: 1"
NC_022768,AP014565,"Salmonella phage Maynard, complete genome","Salmonella enterica subsp. enterica serovar Typhimurium str. L-3553 DNA, complete genome"
MK279859,CP027541,"Mycobacterium phage Kwadwo, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK279858,CP027541,"Mycobacterium phage JakeO, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK279851,LC361338,"Arthrobacter phage Eunoia, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
JF957060,CP027541,"Mycobacterium phage Timshel, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK279853,CP022580,"Gordonia phage Gray, complete genome","Gordonia rubripertincta strain CWB2 chromosome, complete genome"
MK279852,CP027541,"Mycobacterium phage Fringe, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK279854,LC361338,"Arthrobacter phage GreenHearts, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MK279857,CP027541,"Mycobacterium phage IronMan, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MK279856,LC361338,"Arthrobacter phage Huckleberry, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MH825709,CP027541,"Mycobacterium phage NicoleTera, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_011534,NZ_BCTM01000001,"Kluyvera phage Kvp1, complete genome","Kluyvera cryocrescens NBRC 102467, whole genome shotgun sequence"
NC_029071,AP014565,"Salmonella phage 36, complete genome","Salmonella enterica subsp. enterica serovar Typhimurium str. L-3553 DNA, complete genome"
KT783672,LC361338,"Arthrobacter phage TymAbreu, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
NC_028988,NZ_CDQJ01000001,"Ralstonia phage RSJ2 DNA, complete genome","Ralstonia solanacearum strain CFBP3858, whole genome shotgun sequence"
NC_028986,CP027541,"Mycobacterium phage Alice, complete sequence","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_028805,CP032410,"Brevibacillus phage Jenst, complete genome","Brevibacillus laterosporus strain E7593-50 chromosome, complete genome"
NC_013195,NZ_CP023560,"Staphylococcus phage P954, complete genome",Staphylococcus aureus strain NMR08 chromosome
NC_024121,CP029449,"Serratia phage PS2, complete genome","Serratia marcescens strain CAV1761 chromosome, complete genome"
NC_010363,NZ_CM007353,"Lactococcus phage asccphi28, complete genome","Lactococcus lactis subsp. cremoris IBB477 chromosome, whole genome shotgun sequence"
NC_004678,NZ_CP023560,"Staphylococcus phage 44AHJD, complete genome",Staphylococcus aureus strain NMR08 chromosome
NC_004679,NZ_CP023560,"Staphylococcus phage phiP68, complete genome",Staphylococcus aureus strain NMR08 chromosome
NC_013694,CP027541,"Mycobacterium virus Peaches, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_020483,NZ_JNIU01000001,"Pelagibacter phage HTVC019P, complete genome","Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence"
NC_020482,NZ_JNIU01000001,"Pelagibacter phage HTVC011P, complete genome","Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence"
NC_020481,NZ_JNIU01000001,"Pelagibacter phage HTVC010P, complete genome","Candidatus Pelagibacter ubique HTCC7217 P773DRAFT_scaffold00001.1_C, whole genome shotgun sequence"
NC_020480,CP027116,"Bacillus phage Finn, complete genome","Bacillus pumilus strain 145 chromosome, complete genome"
NC_019726,NZ_CP023560,"Staphylococcus phage JD007, complete genome",Staphylococcus aureus strain NMR08 chromosome
MG298964,NZ_DF968533,"Streptomyces phage Alsaber, complete genome","Streptomyces azureus strain ATCC 14921, whole genome shotgun sequence"
MG757166,NZ_CP029604,"Gordonia phage SuperSulley, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MG757167,CP027541,"Mycobacterium phage Tesla, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_027991,NZ_CP023560,"Staphylococcus phage SA1, complete genome",Staphylococcus aureus strain NMR08 chromosome
MG757164,CP027541,"Mycobacterium phage PhenghisKhan, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG757165,CP027541,"Mycobacterium phage Phergie, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_013697,NZ_KN046795,"Delftia phage PhiW-14, complete genome","Delftia acidovorans strain 2167 scaffold1, whole genome shotgun sequence"
MG757162,CP027541,"Mycobacterium phage Opia, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_005857,CP020358,"Klebsiella phage phiKO2, complete genome","Klebsiella oxytoca strain AR_0147, complete genome"
NC_028800,NZ_UWXU01000001,"Klebsiella phage K5, complete genome","Klebsiella pneumoniae isolate kpneu038, whole genome shotgun sequence"
NC_022053,CP027541,"Mycobacterium phage Papyrus, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG925354,CP027541,"Mycobacterium phage Ogopogo, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KT363731,CP027541,"Mycobacterium phage TheloniousMonk, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MG925355,CP027541,"Mycobacterium phage OlanP, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF185728,CP027541,"Mycobacterium phage Finemlucis, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF185729,CP027541,"Mycobacterium phage KADY, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KX620751,CP030279,"Propionibacterium phage Doucette, complete genome","Propionibacterium freudenreichii strain CB129slpB chromosome, complete genome"
MF185725,LC361338,"Arthrobacter phage Tophat, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MF185726,CP027541,"Mycobacterium phage Appletree2, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KX620752,CP030279,"Propionibacterium phage E1, complete genome","Propionibacterium freudenreichii strain CB129slpB chromosome, complete genome"
MF185721,LC361338,"Arthrobacter phage Kabreeze, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MF185722,CP027541,"Mycobacterium phage Peanam, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF185723,LC361338,"Arthrobacter phage RosiePosie, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MH697575,CP027541,"Mycobacterium phage Adahisdi, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_001697,CP029620,"Haemophilus phage HP1, complete genome","Haemophilus influenzae strain 10P129H1 chromosome, complete genome"
MH697577,CP027541,"Mycobacterium phage Amochick, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697576,CP027541,"Mycobacterium phage Aggie, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KT990218,QUAI01000001,"Rhodococcus phage Lillie, complete genome","Rhodococcus erythropolis strain ATCC 15903 DVG80_1, whole genome shotgun sequence"
MH697579,CP027541,"Mycobacterium phage Cane17, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697578,CP027541,"Mycobacterium phage Belladonna, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_021061,CP027541,"Mycobacterium phage Butters, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
KT364588,CP027541,"Mycobacterium phage Hetaeria, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
NC_022058,CP027541,"Mycobacterium phage Adzzy, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH047631,CP019892,"Microbacterium phage Triscuit, complete genome",Microbacterium foliorum strain 122 genome
MF668283,CP027541,"Mycobacterium phage Smairt, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF668282,NZ_CP029604,"Gordonia phage ShayRa, complete genome","Gordonia terrae strain NRRL B-16283 chromosome, complete genome"
MF668281,CP027541,"Mycobacterium phage RitaG, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF668280,CP027541,"Mycobacterium phage Phabba, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF668287,CP027541,"Mycobacterium phage Wachhund, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MF668286,QUAI01000001,"Rhodococcus phage Trina, complete genome","Rhodococcus erythropolis strain ATCC 15903 DVG80_1, whole genome shotgun sequence"
MF668285,LC361338,"Arthrobacter phage Temper16, complete genome","Arthrobacter sp. NHB-10 myd gene for mycodextranase, complete cds"
MF668284,CP027541,"Mycobacterium phage Squint, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697593,CP027541,"Mycobacterium phage Tapioca, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
MH697592,CP027541,"Mycobacterium phage Rando14, complete genome","Mycolicibacterium smegmatis MKD8 chromosome, complete genome"
